,Player,Mat,Inn,No,Runs_bat,HS,Avg_bat,BF,Sr_bat,Hund,Fif,Four,Six,Unnamed: 0,Mat,Inn,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4W,5W,Maid,Dots,Catches,Run Outs,Stumping,Pts,Price,Role
77,Ravichandran Ashwin,13,5,2,44,20,14.66,42,104.76,0,0,2,1,35,13,13,44.4,331,7,2/27,47.28,7.41,38.28,0,0,,95,3,0,0,135.5,7.60 crore,Bowler
78,Manan Vohra,4,4,0,42,14,10.5,39,107.69,0,0,5,2,153,,,,,,,,,,,,,,0,0,0,19.5,20 lakhs,Batsman
79,Liam Livingstone,5,5,0,42,25,8.4,41,102.43,0,0,3,1,154,,,,,,,,,,,,,,3,0,0,18.5,75 lakh,Batsman
80,Jaydev Unadkat,6,3,1,41,24,20.5,29,141.37,0,0,3,2,51,6,6,22,168,4,3/15,42,7.63,33,0,0,,52,1,0,0,83,3 crore,Bowler
81,Axar Patel,12,6,1,40,12,8,46,86.95,0,0,2,1,11,12,12,46,306,15,3/21,20.4,6.65,18.4,0,0,,99,4,1,0,171,5 crore,Bowler
82,Jayant Yadav,5,3,1,34,23,17,26,130.76,0,0,2,1,69,5,5,17,130,2,1/25,65,7.64,51,0,0,,44,2,0,0,64.5,50 lakhs,Bowler
83,Bhuvneshwar Kumar,11,7,6,34,14,34,30,113.33,0,0,3,0,39,11,11,42,335,6,1/16,55.83,7.97,42,0,0,1,103,0,0,0,131.5,8.50 crore,Bowler
84,Mohammad Nabi,3,3,0,34,17,11.33,20,170,0,0,3,2,74,3,3,8,86,2,2/32,43,10.75,24,0,0,,13,5,0,0,47,1 crore,All-Rounder
85,Chris Jordan,4,2,0,32,30,16,21,152.38,0,0,1,3,52,4,4,12,96,4,2/20,24,8,18,0,0,,27,0,0,0,54,3 crore,All-Rounder
86,Washington Sundar,6,4,0,31,10,7.75,47,65.95,0,0,2,0,57,6,6,16,118,3,1/7,39.33,7.37,32,0,0,,32,2,0,0,52.5,3.20 crore,Bowler
87,Moises Henriques,5,4,2,31,14,15.5,32,96.87,0,0,0,1,47,5,5,10,45,4,3/12,11.25,4.5,15,0,0,,31,1,0,0,51,4.2 crore,All-Rounder
88,Dawid Malan,1,1,0,26,26,26,26,100,0,0,1,1,157,,,,,,,,,,,,,,1,0,0,8.5,1.5 crore,Batsman
89,Glenn Phillips,3,3,1,26,14,13,33,78.78,0,0,1,2,87,3,2,2,20,1,1/17,20,10,12,0,0,,4,1,0,0,19.5,50 lakh,Batsman
90,Ripal Patel,2,2,1,25,18,25,27,92.59,0,0,3,0,92,2,1,3,22,0,0/22,0,7.33,0,0,0,,5,0,0,0,12.5,20 lakh,All-Rounder
91,Shivam Mavi,9,2,0,25,20,12.5,20,125,0,0,2,2,26,9,9,32.1,233,11,4/21,21.18,7.24,17.54,1,0,,91,5,1,0,155,3 crore,All-Rounder
92,Tom Curran,3,2,1,21,21,21,17,123.52,0,0,2,0,54,3,3,11.2,104,4,3/29,26,9.17,17,0,0,,19,0,0,0,38,1 crore,All-Rounder
93,Mohammed Siraj,15,4,3,20,12,20,26,76.92,0,0,1,1,25,15,15,52,353,11,3/27,32.09,6.78,28.36,0,0,1,147,4,1,0,202.5,2.60 crore,Bowler
94,Prabhsimran Singh,2,2,0,19,12,9.5,23,82.6,0,0,1,1,,,,,,,,,,,,,,,,,,,55 lakhs,Wicket Keeper
95,Nathan Ellis,3,2,1,18,12,18,16,112.5,0,0,0,1,78,3,3,12,98,1,1/20,98,8.16,72,0,0,,27,0,0,0,34,20 lakh,All-Rounder
96,Lockie Ferguson,8,3,3,18,18,0,11,163.63,0,0,1,1,20,8,8,30,224,13,3/18,17.23,7.46,13.84,0,0,,76,3,2,0,137,1.60 crore,Batsman
97,Anmolpreet Singh,1,1,0,16,16,16,14,114.28,0,0,2,1,158,,,,,,,,,,,,,,0,0,0,8.5,80 lakhs,Batsman
98,Adam Milne,4,3,1,16,15,8,17,94.11,0,0,0,1,64,4,4,14,131,3,2/21,43.66,9.35,28,0,0,,31,2,0,0,50,3.20 crore,Bowler
99,Chetan Sakariya,14,6,1,16,7,3.2,25,64,0,0,2,0,15,14,14,52,426,14,3/31,30.42,8.19,22.28,0,0,1,113,4,0,0,177,1.2 crore,Bowler
100,Jasprit Bumrah,14,7,5,16,5,8,17,94.11,0,0,2,0,2,14,14,55,410,21,3/36,19.52,7.45,15.71,0,0,,142,4,1,0,231.5,7 crore,Bowler
101,Jhye Richardson,3,2,0,15,15,7.5,24,62.5,0,0,2,0,65,3,3,11,117,3,2/41,39,10.63,22,0,0,,24,1,0,0,42,14 crore,Bowler
102,Chris Woakes,3,1,1,15,15,0,11,136.36,0,0,2,0,43,3,3,11,82,5,2/18,16.4,7.45,13.2,0,0,,33,0,1,0,56.5,1.50 crore,All-Rounder
103,Murugan Ashwin,3,2,0,15,9,7.5,24,62.5,0,0,1,0,81,3,3,11,97,1,1/32,97,8.81,66,0,0,,19,0,0,0,25,20 lakhs,Bowler
104,Virat Singh,3,2,0,15,11,7.5,26,57.69,0,0,1,0,161,,,,,,,,,,,,,,2,0,0,7.5,1.90 crore,Batsman
105,Mandeep Singh,1,1,0,15,15,15,14,107.14,0,0,2,0,159,,,,,,,,,,,,,,1,0,0,7.5,1.40 crore,All-Rounder
106,Jagadeesha Suchith,2,1,1,14,14,0,6,233.33,0,0,2,1,99,2,2,7,66,0,0/21,0,9.42,0,0,0,,11,1,1,0,23,20 lakhs,Bowler
107,Rahul Chahar,11,5,0,14,8,2.8,15,93.33,0,0,1,0,19,11,11,43,318,13,4/27,24.46,7.39,19.84,1,0,,93,3,0,0,148.5,1.90 crore,All-Rounder
108,Dan Christian,9,7,1,14,9,2.33,24,58.33,0,0,1,0,55,9,9,16.4,155,4,2/14,38.75,9.3,25,0,0,,29,9,0,0,68,4.8 crore,All-Rounder
109,Mohammad Shami,14,4,3,13,9,13,17,76.47,0,0,0,0,4,14,14,52.4,395,19,3/21,20.78,7.5,16.63,0,0,1,145,1,1,0,215,4.80 crore,Bowler
110,Kagiso Rabada,15,3,2,13,9,13,6,216.66,0,0,2,0,12,15,15,56,456,15,3/36,30.4,8.14,22.4,0,0,1,135,9,2,0,217,4.20 crore,Bowler
111,Yuzvendra Chahal,15,2,2,10,8,0,27,37.03,0,0,0,0,7,15,15,53,374,18,3/11,20.77,7.05,17.66,0,0,1,127,4,1,0,201,6 crore,Bowler
112,Ajinkya Rahane,2,1,0,8,8,8,8,100,0,0,1,0,,,,,,,,,,,,,,,,,,,5.25 crore,Batsman
113,Sandeep Sharma,7,2,1,8,8,8,7,114.28,0,0,1,0,61,7,7,23.3,203,3,1/20,67.66,8.63,47,0,0,,52,1,0,0,67.5,3 crore,Bowler
114,Mustafizur Rahman,14,5,5,8,8,0,14,57.14,0,0,0,1,17,14,14,51.5,436,14,3/20,31.14,8.41,22.21,0,0,,113,1,2,0,170,1 crore,Bowler
115,Siddarth Kaul,8,2,2,8,7,0,8,100,0,0,1,0,36,8,8,30,247,7,2/31,35.28,8.23,25.71,0,0,1,70,1,0,0,99.5,3.80 crore,Bowler
116,Sachin Baby,1,1,0,7,7,7,17,41.17,0,0,0,0,,,,,,,,,,,,,,,,,,,10 lakh,Batsman
117,Shreyas Gopal,3,2,1,7,7,7,5,140,0,0,0,1,107,3,3,7,84,0,0/9,0,12,0,0,0,,11,0,0,0,14.5,20 lakhs,All-Rounder
118,Daniel Sams,2,2,1,6,3,6,6,100,0,0,0,0,75,2,2,6,39,1,1/24,39,6.5,36,0,0,,15,0,0,0,18.5,30 lakh,All-Rounder
119,Fabian Allen,4,3,2,6,6,6,12,50,0,0,0,0,79,4,3,11,90,1,1/22,90,8.18,66,0,0,1,20,2,0,0,28.5,50 lakhs,All-Rounder
120,Avesh Khan,16,1,1,5,5,0,3,166.66,0,0,1,0,1,16,16,61,450,24,3/13,18.75,7.37,15.25,0,0,,156,1,0,0,245,70 lakhs,Bowler
121,Shardul Thakur,16,4,2,5,3,2.5,5,100,0,0,0,0,3,16,16,59.5,527,21,3/28,25.09,8.8,17.09,0,0,1,137,2,1,0,216.5,2.60 crore,Bowler
122,Harbhajan Singh,3,2,2,4,2,0,4,100,0,0,0,0,97,3,3,7,63,0,0/8,0,9,0,0,0,,19,1,0,0,21.5,2 crore,Bowler
123,Nathan Coulter-Nile,5,2,0,4,3,2,5,80,0,0,0,0,33,5,5,20,127,7,4/14,18.14,6.35,17.14,1,0,,53,2,0,0,82.5,8 crore,Bowler
124,Tim Southee,3,1,0,3,3,3,5,60,0,0,0,0,58,3,3,12,95,3,2/26,31.66,7.91,24,0,0,,23,2,0,0,38.5,1 crore,Bowler
125,Navdeep Saini,2,1,0,2,2,2,4,50,0,0,0,0,109,2,2,4,52,0,0/25,0,13,0,0,0,,5,1,0,0,7.5,3 crore,Bowler
126,Tabraiz Shamsi,1,1,1,2,2,0,4,50,0,0,0,0,95,1,1,4,34,0,0/34,0,8.5,0,0,0,,2,,,,,50 lakh,Bowler
127,Kartik Tyagi,4,2,1,2,1,2,4,50,0,0,0,0,53,4,4,14,124,4,2/29,31,8.85,21,0,0,,37,1,0,0,53.5,1.30 crore,Bowler
128,Tim Seifert,1,1,0,2,2,2,4,50,0,0,0,0,,,,,,,,,,,,,,,,,,,50 lakh,Bowler
129,Arshdeep Singh,12,2,2,2,1,0,3,66.66,0,0,0,0,8,12,12,41.2,342,18,5/32,19,8.27,13.77,0,1,,88,4,2,0,163,20 lakhs,Batsman
130,George Garton,5,3,2,2,2,2,4,50,0,0,0,0,62,5,5,15,135,3,1/27,45,9,30,0,0,,32,1,0,0,45,20 lakh,Bowler
131,Varun Chakaravarthy,17,3,2,2,2,2,4,50,0,0,0,0,5,17,17,68,448,18,3/13,24.88,6.58,22.66,0,0,,149,1,2,0,216.5,4 crore,All-Rounder
132,Mujeeb Ur Rahman,1,1,1,1,1,0,1,100,0,0,0,0,67,1,1,4,29,2,2/29,14.5,7.25,12,0,0,,10,0,0,0,17,1.5 crore,Bowler
133,Tim David,1,1,0,1,1,1,3,33.33,0,0,0,0,,,,,,,,,,,,,,,,,,,20 lakh,All-Rounder
134,Khaleel Ahmed,7,1,0,1,1,1,2,50,0,0,0,0,45,7,7,27,219,5,3/21,43.8,8.11,32.4,0,0,,56,0,1,0,74.5,3 crore,Bowler
135,Wanindu Hasaranga,2,2,1,1,1,1,2,50,0,0,0,0,102,2,2,6,60,0,0/20,0,10,0,0,0,,11,0,0,0,11,50 lakh,All-Rounder
136,Ravi Bishnoi,9,1,0,1,1,1,4,25,0,0,0,0,23,9,9,35,222,12,3/24,18.5,6.34,17.5,0,0,,84,2,1,0,132,2 crore,Bowler
137,Trent Boult,14,4,4,1,1,0,4,25,0,0,0,0,21,14,14,51.2,406,13,3/28,31.23,7.9,23.69,0,0,1,138,5,0,0,196,3.20 crore,Bowler
138,Deepak Chahar,15,2,2,1,1,0,1,100,0,0,0,0,16,15,15,54,451,14,4/13,32.21,8.35,23.14,2,0,1,132,5,2,0,195.5,80 lakhs,Bowler
139,Ben Stokes,1,1,0,0,0,0,3,0,0,0,0,0,105,1,1,1,12,0,0/12,0,12,0,0,0,,2,,,,,12.50 crore,All-Rounder
140,Marco Jansen,2,2,0,0,0,0,3,0,0,0,0,0,68,2,2,6,45,2,2/28,22.5,7.5,18,0,0,,14,1,0,0,23.5,20 lakhs,Bowler
141,Shahbaz Nadeem,1,1,0,0,0,0,1,0,0,0,0,0,82,1,1,4,36,1,1/36,36,9,24,0,0,,9,1,0,0,15,3.20 crore,Bowler
142,Kamlesh Nagarkoti,1,1,0,0,0,0,2,0,0,0,0,0,108,1,1,2,25,0,0/25,0,12.5,0,0,0,,2,,,,,3.20 crore,Batsman
143,Prasidh Krishna,10,2,1,0,0,0,1,0,0,0,0,0,24,10,10,38.3,351,12,3/30,29.25,9.11,19.25,0,0,,102,3,0,0,151.5,20 lakhs,Batsman
144,Kuldip Yadav,1,1,1,0,0,0,4,0,0,0,0,0,94,1,1,2,16,0,0/16,0,8,0,0,0,,5,,,,,20 lakh,Bowler
145,Sarfaraz Khan,2,2,0,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,25 lakhs,Batsman
